Word,Translation,Level,Page
about,אודות,1,17
as,כמו,1,17
both,שניהם,1,17
comparatively,באופן יחסי,1,17
correspondingly,בהתאמה,1,17
e.g.,לדוגמה,1,17
equally,במידה שווה,1,17
for example,לדוגמה,1,17
for instance,לדוגמה,1,17
identically,באופן זהה,1,17
in other words,במילים אחרות,1,17
in the same way,באותו אופן,1,17
just as,בדיוק כמו,1,17
like,כמו,1,17
likewise,"כמו -כן, באותו אופן",1,17
similarly,באופן דומה,1,17
such as,כמו למשל,1,17
above all,מעל לכל,1,17
absolutely,לחלוטין,1,17
certainly,"בהחלט, בוודאי",1,17
chiefly,בעיקר,1,17
especially,במיוחד,1,17
essentially,"בעיקרו, במהותו",1,18
however,בכל דרך,1,18
in fact,למעשה,1,18
in general,באופן כללי,1,18
in particular,במיוחד,1,18
incidentally,דרך אגב,1,18
indeed,בהחלט,1,18
mainly,בעיקר,1,18
markedly,בצורה ניכרת,1,18
namely,"במיוחד, כלומר",1,18
notably,ראוי לציון,1,18
of course,"כמובן, בוודאי",1,18
particularly,"במיוחד, בפרט",1,18
primarily,בעיקר,1,18
significantly,באופן משמעותי,1,18
specifically,במיוחד,1,18
surely,ללא ספק,1,18
surprisingly,במפתיע,1,18
too,יותר מידי,1,18
truly,באמת,1,18
undoubtedly,ללא ספק,1,18
additionally,בנוסף,1,18
along with,יחד עם,1,19
also,גם,1,19
as well as,כמו גם,1,19
aside from -,חוץ מ,1,19
besides,בנוסף על,1,19
besides -,"מלבד, חוץ מ",1,19
but -,"מלבד, חוץ מ",1,19
coupled with,יחד עם,1,19
except -,"מלבד, חוץ מ",1,19
furthermore,זאת ועוד,1,19
in addition,בנוסף,1,19
including,כולל,1,19
moreover,זאת ועוד,1,19
not only,לא רק,1,19
not to mention,שלא לדבר על,1,19
together with,יחד עם,1,19
too,גם,1,19
with,"באמצעות, עם",1,19
without,"מבלי, ללא",1,19
despite,למרות,1,19
even so,אף על פי כן,1,19
even though -,למרות ש,1,19
however,למרות זאת,1,19
in spite of,למרות,1,19
nevertheless,למרות זאת,1,19
nonetheless,למרות זאת,1,19
after,אחרי,1,20
afterwards,לאחר מכן,1,20
again,שוב,1,20
as -,"כאשר, כש",1,20
as long as,כל עוד,1,20
as soon as -,"כאשר, ברגע ש",1,20
at first,בהתחלה,1,20
at last,סוף סוף,1,20
before,לפני,1,20
by -,"עד, לא יאוחר מ",1,20
currently,"כרגע, נכון לעכשיו",1,20
during,"תוך כדי, במשך",1,20
earlier,קודם לכן,1,20
eventually,לבסוף,1,20
finally,"לבסוף, סוף סוף",1,20
first of all,ראשית,1,20
former,"קודם, לשעבר",1,20
further,בהמשך,1,20
immediately,מיד,1,20
in a moment,בעוד רגע,1,20
in due time,בבוא העת,1,20
initially,בתחילה,1,20
instantly,מיד,1,20
last,אחרון,1,20
later,מאוחר יותר,1,20
meanwhile,בינתיים,1,20
next,הבא,1,20
now,עכשיו,1,21
once (,פעם )בעבר,1,21
once -,ברגע ש,1,21
past,"עבר, שעבר",1,21
presently,כעת,1,21
previously,"הקודם, לפני -כן",1,21
prior to,"קודם ל -, לפני",1,21
shortly,"בקיצור, בקרוב",1,21
simultaneously,בו זמנית,1,21
since,מאז,1,21
soon,"בהקדם, מוקדם",1,21
still,"עדיין, למרות זאת",1,21
suddenly,לפתע,1,21
then,אז,1,21
to begin with,בתור התחלה,1,21
until -,עד ש,1,21
until now,עד עתה,1,21
when -,"כאשר, כש",1,21
whenever,"כש -, מתישהו",1,21
while -,בזמן ש,1,21
yet,"עדיין, בכל זאת",1,21
backward,לאחור,1,21
down,למטה,1,21
forward,"קדימה, לפנים",1,21
further,לקדם,1,21
left,שמאלה,1,21
right,ימינה,1,21
sideways,הצידה,1,21
toward,"אל, אל עבר",1,22
upon,על,1,22
upside down,הפוך,1,22
about,"ליד, בערך",1,22
above,מעל,1,22
across,"בצד השני, לרוחב",1,22
adjacent to,ליד,1,22
against,"כנגד, ממול",1,22
ahead of,"לפני, לפנים",1,22
along,לאורך,1,22
alongside,"לצד, במקביל",1,22
amid,"בקרב, בין",1,22
among,"בקרב, בין",1,22
around,מסביב,1,22
at -,"אצל, ב",1,22
before,"לפני, מול",1,22
behind,מאחורי,1,22
below,מתחת,1,22
beneath,מתחת,1,22
beside,ליד,1,22
between,בין,1,22
beyond,מעבר,1,22
by -,"ליד, בסמוך ל",1,22
close,קרוב,1,22
distant,מרוחק,1,22
elsewhere,במקום אחר,1,22
farther,"הלאה, יותר",1,22
here,כאן,1,23
in,"ב -, בתוך",1,23
in front of,"בחזית של, מול",1,23
inside,"בתוך, פנים",1,23
into,אל תוך,1,23
latter,"שני, אחרון",1,23
near,קרוב,1,23
nearby,"ליד, קרוב",1,23
next to,ליד,1,23
of -,"של, מ",1,23
on,על,1,23
on top of,"על, מעל",1,23
opposite,"מנוגד, ממול",1,23
outside,חוץ,1,23
outside,בחוץ,1,23
over,"על, מעל",1,23
there,שם,1,23
under,מתחת,1,23
underneath,מתחת,1,23
up,למעלה,1,23
where,"היכן, איפה",1,23
wherever,"בכל מקום, לא משנה היכן",1,23
within,בתוך,1,23
albeit,אף על פי,1,23
although -,למרות ש,1,23
but,"אך, אבל",1,23
contradictory,סותר,1,23
contrary -,"להפך, בניגוד ל",1,23
conversely,לעומת זאת,1,24
different from -,שונה מ,1,24
in comparison,בהשוואה,1,24
in contrast to -,בניגוד ל,1,24
instead,במקום,1,24
instead of,במקום,1,24
on the contrary,בניגוד לכך,1,24
or,או,1,24
otherwise,אחרת,1,24
rather,עדיף,1,24
rather than -,"במקום, יותר מ",1,24
regardless,"למרות, ללא קשר",1,24
though,למרות זאת,1,24
though -,למרות ש,1,24
unlike,שלא כמו,1,24
vice versa,להיפך,1,24
where -,בעוד ש,1,24
whereas -,בעוד ש,1,24
yet,"אך, אולם",1,24
after all,אחרי הכל,1,24
because,בגלל,1,24
because of,בגלל,1,24
being that -,מכיוון ש,1,24
due to,"בגלל, לאור",1,24
given that,בהתחשב בכך,1,24
in light of,לאור,1,24
owing to -,הודות ל,1,25
since -,מכיוון ש,1,25
thanks to -,תודות ל,1,25
therefore,לכן,1,25
why,מדוע,1,25
all in all,בסך הכל,1,25
altogether,בסך הכל,1,25
besides,בכל מקרה,1,25
i.e.,"כלומר, לדוגמה",1,25
in a word,במילה אחת,1,25
in conclusion,לסיכום,1,25
overall,"כולל, באופן כללי",1,25
to sum up,כדי לסכם,1,25
according,לפי,1,25
accordingly,בהתאם,1,25
as a result,כתוצאה,1,25
consequently,כתוצאה מכך,1,25
for -,מפני ש,1,25
for,עבור,1,25
hence,"לפיכך, לכן",1,25
in that case,במקרה הזה,1,25
led to -,הוביל ל,1,25
so,"אז, כך ש -, ולכן",1,25
so that -,כך ש,1,25
subsequently,כתוצאה מכך,1,26
thus -,"לכן, כך ש",1,26
always,תמיד,1,26
consistently,בעקביות,1,26
constantly,באופן קבוע,1,26
daily,יומיומי,1,26
every day,כל יום,1,26
every now and then,לפעמים,1,26
for the most part,בדרך -כלל,1,26
forever,"לנצח, לתמיד",1,26
frequently,לעיתים קרובות,1,26
from time to time,מפעם לפעם,1,26
hardly ever,כמעט אף פעם,1,26
mostly,לרוב,1,26
never,אף פעם,1,26
occasionally,מידי פעם,1,26
often,לעיתים קרובות,1,26
once in a while,מידי פעם,1,26
ordinarily,בדרך -כלל,1,26
permanently,קבוע,1,26
perpetually,"נצחי, לנצח",1,26
rarely,לעיתים נדירות,1,26
regularly,באופן קבוע,1,26
seldom,לעיתים רחוקות,1,26
sometimes,"לעיתים, לפעמים",1,26
usually,בדרך -כלל,1,26
as if,כאילו,1,27
based on,מבוסס על,1,27
even if,גם אם,1,27
granted (that) -,"בהנחה ש -, נתון ש",1,27
If,אם,1,27
in case,במקרה,1,27
in order to,"על -מנת, בכדי",1,27
only,רק,1,27
provided that -,בתנאי ש,1,27
so long as,כל עוד,1,27
unless,אלא אם כן,1,27
which -,"אשר, ש",1,27
while,כל עוד,1,27
how,"איך, כיצד",1,27
what,"מה, איזה",1,27
which,איזה,1,27
who -,"מי, ש",1,27
whom,מי,1,27
whose,"אשר לו, אשר הוא",1,27
1st -first,ראשון,1,27
2nd -second,שני,1,27
3rd -third,שלישי,1,27
4th -fourth,רביעי,1,27
5th -fifth,חמישי,1,27
6th -sixth,שישי,1,28
7th -seventh,שביעי,1,28
8th -eighth,שמיני,1,28
9th -ninth,תשיעי,1,28
tenth -10th,עשירי,1,28
ability,יכולת,2,29
able,"יכול, מסוגל",2,29
accept,לקבל,2,29
acceptable,מקובל,2,29
acceptance,הסכמה,2,29
accident,תאונה,2,29
achieve,להשיג,2,29
activate,להפעיל,2,29
active,פעיל,2,29
actor,שחקן,2,29
actual,ממשי,2,29
actually,למעשה,2,29
addition,"תוספת, הוספה",2,29
address,"לפנות, לטפל",2,29
address,כתובת,2,29
adjust,להתרגל,2,29
adjust,לכוונן,2,29
afford,יכל לעמוד בהוצאות,2,29
afraid,מפחד,2,29
agree,להסכים,2,29
agreement,הסכם,2,29
aim,"לכוון, מטרה",2,29
alarm,"דאגה, להדאיג",2,29
alarm,אזעקה,2,29
alive,חי,2,29
almost,כמעט,2,29
alone,לבד,2,29
alternate,"התחלף, עבר מדבר אחד לשני וחזרה",2,30
alternate,חלופי,2,30
altogether,לגמרי,2,30
ambassador,שגריר,2,30
ambiguous,"דו משמעי, לא לגמרי ברור",2,30
amount,כמות,2,30
anger,"כעס, להכעיס",2,30
angry,כועס,2,30
animal,חיה,2,30
another,נוסף,2,30
another,אחר,2,30
answer,תשובה,2,30
apart,בנפרד,2,30
apology,התנצלות,2,30
appear,להופיע,2,30
appear -,נראה ש,2,30
appearance,"מראה, הופעה",2,30
appropriate,מתאים,2,30
approve,לאשר,2,30
architect,ארכיטקט,2,30
architecture,"אדריכלות, ארכיטקטורה",2,30
area,"אזור, תחום",2,30
argue,להתווכח,2,30
argument,ויכוח,2,30
aristocrat,"אציל, אריסטוקרט",2,30
arm,לחמש,2,30
arm,זרוע,2,30
army,צבא,2,30
around,בערך,2,30
arrange,לסדר,2,30
arrest,"מעצר, לעצור",2,31
arrive,להגיע,2,31
art,אמנות,2,31
article,פריט,2,31
article,מאמר,2,31
articulate,רהוט,2,31
articulate,להביע,2,31
artist,אמן,2,31
artistic,אמנותי,2,31
as far as -,"לגבי, בכל הנוגע ל",2,31
as proof of -,כהוכחה ל,2,31
ask,לשאול,2,31
asked for,ביקש,2,31
associate,לקשר,2,31
association,אסוציאציה,2,31
association,איגוד,2,31
assume,להניח,2,31
assumption,הנחה,2,31
at least,לפחות,2,31
athlete,"ספורטאי, אתלט",2,31
attach,"לחבר, ליחס",2,31
attack,"לתקוף, מתקפה",2,31
attempt,ניסיון,2,31
attitude,גישה,2,31
attract,למשוך,2,31
attraction,משיכה,2,31
attractive,"נאה, מושך",2,31
audience,קהל,2,31
authentic,"מקורי, אותנטי",2,31
availability,זמינות,2,31
available,זמין,2,32
average,"ממוצע, רגיל",2,32
avoid,"להתחמק, להימנע",2,32
awake,"ער, להתעורר",2,32
bacteria,חיידקים,2,32
badly,"נואשות, קשות",2,32
baker,אופה,2,32
band,להקה,2,32
band,"לחבוש, תחבושת, רצועה",2,32
barely,בקושי,2,32
base,בסיס,2,32
bat,עטלף,2,32
bat,מחבט,2,32
bath,"אמבטיה, להתרחץ",2,32
battle,"מאבק, להיאבק",2,32
beach,חוף ים,2,32
bear,דוב,2,32
bear,"לסבול, לשאת",2,32
beauty,יופי,2,32
bedroom,חדר שינה,2,32
begin/an/un,להתחיל / התחיל / התחיל,2,32
beginning,התחלה,2,32
belong,שייך,2,32
best,הכי טוב,2,32
best-seller,רב -מכר,2,32
better,טוב יותר,2,32
bicycle,אופניים,2,32
birth,לידה,2,32
bite,"לנשוך, נשיכה",2,32
bizarre,מוזר,2,32
blind,עיוור,2,33
block,"לבנה, גוש, חלק",2,33
block,חסימה,2,33
blood,דם,2,33
blood vessel,כלי דם,2,33
"blow, blew","לנשוף, נשף",2,33
"blow, blew","לפוצץ, פוצץ",2,33
boat,סירה,2,33
body,"גוויה, גוף",2,33
bone,עצם,2,33
border,גבול,2,33
boring,משעמם,2,33
bottle,בקבוק,2,33
bottom,תחתית,2,33
bottom,ישבן,2,33
bought,קנה,2,33
brain,"מוח, שכל",2,33
brainwash,לשטוף את המח,2,33
brave,אמיץ,2,33
bread,לחם,2,33
break,לשבור,2,33
breathe,לנשום,2,33
bridge,"גשר, לגשר",2,33
broad,נרחב,2,33
budget,"תקציב, לתקצב",2,33
build,לבנות,2,33
build,מבנה,2,33
building,בניין,2,33
built,לבנות,2,33
bullet,קליע,2,33
by,"באמצעות, על -ידי",2,34
call,"לקרוא, להתקשר",2,34
camera,מצלמה,2,34
care,לחבב,2,34
care,"לדאוג, לטפל",2,34
carefully,בזהירות,2,34
careless,"לא זהיר, רשלני",2,34
carry,לסחוב,2,34
catalogue,"קטלוג, רשימת פריטים",2,34
"catch, caught","לתפוס, תפס",2,34
cause,מטרה,2,34
cause,"גורם, סיבה",2,34
cell,תא,2,34
center,מרכז,2,34
central,מרכזי,2,34
challenge,לאתגר,2,34
challenge,אתגר,2,34
chance,סיכוי,2,34
change,עודף,2,34
change,"שינוי, לשנות",2,34
characterize,לאפיין,2,34
cheap,זול,2,34
check,לבדוק,2,34
child,ילד,2,34
childhood,ילדות,2,34
children,ילדים,2,34
circle,להקיף בעיגול,2,34
circle,מעגל,2,34
clean,"נקי, לנקות",2,34
clever,פיקח,2,34
climb,לטפס,2,35
clock,שעון,2,35
close,"סגור, לסגור",2,35
cloth,"בגד, בד",2,35
coach,"מאמן, לאמן, להדריך",2,35
coach (,"קרון נוסעים, כרכרה, מחלקת תיירים )במטוס",2,35
code,קוד,2,35
coexist,להתקיים בשותפות,2,35
coin,מטבע,2,35
cold,"קר, התקררות",2,35
colonial,קולוניאלי,2,35
color,לצבוע,2,35
color,צבע,2,35
complain,להתלונן,2,35
complete,כולל,2,35
complete,להשלים,2,35
consist -,מורכב מ,2,35
contact,"ליצור קשר, מגע",2,35
continue,להמשיך,2,35
continuity,"המשכיות, רצף הגיוני",2,35
continuous,מתמשך,2,35
control,"לוח בקרה, פיקוח",2,35
control,"שליטה, לשלוט",2,35
cool,"לצנן, צונן",2,35
copies,עותקים,2,35
copy,להעתיק,2,35
corner,"פינה, לדחוק לפינה",2,35
correct,לתקן,2,35
correct,נכון,2,35
cost,"מחיר, עלות",2,35
costly,יקר,2,36
count,לספור,2,36
count,רוזן,2,36
country,ארץ,2,36
country,"כפר, אזור",2,36
cover,"כיסוי, מכסה",2,36
cow,פרה,2,36
culture,תרבות,2,36
dance,לרקוד,2,36
danger,"סכנה, לסכן",2,36
dangerous,מסוכן,2,36
daughter,בת,2,36
death,מוות,2,36
deep,עמוק,2,36
deeply,"מאוד, במידה רבה",2,36
define,להגדיר,2,36
definite,מוחלט,2,36
delete,למחוק,2,36
desert,מדבר,2,36
desert,לנטוש,2,36
devastate,להחריב,2,36
die,"מת, למות",2,36
die (dice) (,קובייה )קוביות,2,36
difficult,קשה,2,36
dirty,מלוכלך,2,36
diverse,מגוון,2,36
done,"גמור, עשוי",2,36
dream,"חלום, לחלום",2,36
drink,"לשתות, משקה",2,36
drug,"סם, תרופה, לסמם",2,36
due,"צריך להיעשות, זמנו הגיע",2,37
due,בשל,2,37
early,מוקדם,2,37
earth,אדמה,2,37
Earth,כדור הארץ,2,37
earthquake,רעידת אדמה,2,37
educate,לחנך,2,37
education,השכלה,2,37
empty,"ריק, לרוקן",2,37
enemy,אויב,2,37
energy,"אנרגיה, כוח",2,37
enjoy,ליהנות,2,37
enjoyable,מהנה,2,37
enter,נכנס,2,37
error,שגיאה,2,37
escape,"לברוח, בריחה",2,37
evening,ערב,2,37
event,אירוע,2,37
exact,מדויק,2,37
exactly,בדיוק,2,37
example,דוגמה,2,37
excessive,"יתר, מוגזם",2,37
expert,מומחה,2,37
extinct,נכחד,2,37
fact,עובדה,2,37
false,שקר,2,37
farm,חווה,2,37
farmer,חוואי,2,37
father,אבא,2,37
fear,"פחד, לפחד",2,37
feel,להרגיש,2,38
feeling,הרגשה,2,38
few,מעט,2,38
field,"תחום, שדה",2,38
find,למצוא,2,38
findings,ממצאים,2,38
finger,אצבע,2,38
fire,לפטר,2,38
fire,"אש, להצית",2,38
fire,לירות,2,38
fix,לתקן,2,38
flower,פרח,2,38
forget,לשכוח,2,38
friend,חבר,2,38
friendly,ידידותי,2,38
friendship,חברות,2,38
front,"חזית, להתעמת",2,38
full,"מלא, למלא",2,38
gain,"להרוויח, להוסיף",2,38
glad,שמח,2,38
gradual,הדרגתי,2,38
great,"גדול, מעולה",2,38
half,חצי,2,38
hand,יד,2,38
hand,למסור,2,38
hear,לשמוע,2,38
hearsay,שמועה,2,38
heat,"חום, לחמם",2,38
hero,גיבור,2,38
horse,סוס,2,38
hot,חם,2,39
hot,חריף,2,39
house,לשכן,2,39
house,בית,2,39
impartial,"אוביקטיבי, ללא צד",2,39
inconsistent,לא עקבי,2,39
insert,להכניס,2,39
jump,לקפוץ,2,39
just,"מדויק, אמיתי",2,39
just,"צודק, הוגן",2,39
just,"רק, בלבד",2,39
kill,"להרוג, לחסל, הרג",2,39
king,מלך,2,39
kingdom,ממלכה,2,39
kitchen,מטבח,2,39
last,"המשיך, החזיק מעמד",2,39
late,"מאוחר, לאחר",2,39
light,קל,2,39
light,אור,2,39
like,"לחבב, להעדיף",2,39
list,"רשימה, להכין רשימה",2,39
lock,"מנעול, לנעול",2,39
logic,הגיון,2,39
main,עיקרי,2,39
map,"מפה, למפות",2,39
mark,לסמן,2,39
maybe,אולי,2,39
meeting,פגישה,2,39
member (,חבר )בקבוצה מסוימת,2,39
milk,"חלב, לחלוב",2,39
mistake,טעות,2,40
mistaken,"שגוי, לטעות",2,40
money,כסף,2,40
move,"לזוז, לעבור",2,40
movement,תנועה,2,40
must,"חייב, חובה, הכרח",2,40
number,מספר,2,40
once,פעם אחת,2,40
open,"לפתוח, פתוח",2,40
over,"מחדש, שוב",2,40
paragraph,ִפסקה,2,40
pay,לשלם,2,40
peace,שלום,2,40
peaceful,"ָשׁ ֵלו, שקט",2,40
pilot,טייס,2,40
place,"מקום, למקם",2,40
plan,לתכנן,2,40
plan,תכנית,2,40
plane,מטוס,2,40
plane,מישור,2,40
president,נשיא,2,40
price,מחיר,2,40
primary,"יסודי, עיקרי",2,40
problem,בעיה,2,40
program,תכנית,2,40
program,תכניה,2,40
program,לתכנת,2,40
queen,מלכה,2,40
question,להטיל ספק,2,40
question,שאלה,2,40
quick,זריז,2,41
rates,"שיעור , היקף, תעריף",2,41
rather,למדי,2,41
react,להגיב,2,41
region,"מחוז, אזור",2,41
register,להירשם,2,41
registration,הרשמה,2,41
reject,לדחות,2,41
rest,מנוחה,2,41
rest,"יתר, שאר",2,41
rich,עשיר,2,41
right,זכות,2,41
risk,"סיכון, לסכן",2,41
river,נהר,2,41
road,דרך,2,41
safe,בטוח,2,41
safety,בטיחות,2,41
save,לשמור,2,41
scare,"פחד, להפחיד",2,41
school,בית -ספר,2,41
search,"חיפוש, לחפש",2,41
select,לבחור,2,41
sell,למכור,2,41
send,לשלוח,2,41
several,"אחדים, כמה",2,41
short,קצר,2,41
shortage,מחסור,2,41
side,"צד, לצודד, לתמוך",2,41
sleep,שינה,2,41
sleep,לישון,2,41
slow,"איטי, לאט",2,42
slow down,להאט,2,42
so,"כל -כך, מאוד",2,42
space,חלל,2,42
space,רווח,2,42
speed,מהירות,2,42
start,להתחיל,2,42
still,"נייח, דומם, שקט",2,42
stone,אבן,2,42
strong,חזק,2,42
stronghold,מאחז,2,42
system,מערכת,2,42
system,שיטה,2,42
target,מטרה,2,42
"teach, taught","ללמד, לימד",2,42
"think, thought","לחשוב, חשב",2,42
time,זמן,2,42
totally,לחלוטין,2,42
town,"עיר, עיירה",2,42
understand,להבין,2,42
unusual,"בלתי רגיל, יוצא דופן",2,42
use,"תועלת, תכלית",2,42
use,לנצל,2,42
use,להשתמש,2,42
useful,שימושי,2,42
useless,חסר תועלת,2,42
usual,רגיל,2,42
valuable,יקר ערך,2,42
value,"ערך, להעריך",2,42
view,לראות,2,42
view,"נוף, שדה ראיה",2,43
viewer,צופה,2,43
visit,לבקר,2,43
visitor,"אורח, מבקר",2,43
voice,"קול, להשמיע קול",2,43
wait,"להמתין, המתנה",2,43
way,דרך,2,43
weather,מזג אוויר,2,43
abrupt,פתאומי,3,44
absolute,מוחלט,3,44
accessible,"נגיש, זמין",3,44
accomplish,"להשלים, להשיג",3,44
accomplished,"מומחה, מעולה",3,44
accomplishment,הישג,3,44
account -,"להתחשב ב -, להתייחס ל",3,44
account,חשבון,3,44
accuracy,דיוק,3,44
accurate,מדויק,3,44
activist,"פעיל, אקטיביסט",3,44
adapt,להתאים,3,44
adapt,לעבד,3,44
adapt,להסתגל,3,44
administer,"לנהל, לפקח",3,44
administer,"לתת, לחלק",3,44
administration,מנהל,3,44
admit,להודות,3,44
admit,"להכניס, לקבל לתוך קבוצה",3,44
adult,מבוגר,3,44
adulthood,בגרות,3,44
advance,מתקדם,3,44
advancement,התקדמות,3,44
advancement,מקדמה,3,44
advantage,יתרון,3,44
advice,עצה,3,44
advise,לייעץ,3,44
advisor,יועץ,3,45
aesthetic,אסתטיקה,3,45
allocate,להקצות,3,45
announcement,הכרזה,3,45
annually,שנתי,3,45
appoint,למנות,3,45
approach,גישה,3,45
approximately,"בערך, בקירוב",3,45
astronomy,אסטרונומיה,3,45
attention,תשומת לב,3,45
attribute,"לייחס, לקשר",3,45
attribute,"תכונה, מאפיין",3,45
aware,מודע,3,45
balance,שיווי משקל,3,45
balance,"איזון, לאזן",3,45
ban,"חרם, איסור",3,45
belief,אמונה,3,45
bend,לכופף,3,45
beware,היזהר,3,45
borrow,להשאיל,3,45
brief,"תדריך, תקציר",3,45
briefly,בקצרה,3,45
bright,"בהיר, ברור",3,45
by no means,"ללא ספק, בשום אופן",3,45
by now,עד עתה,3,45
capable,"מסוגל, יכול",3,45
capacity,"יכולת, סמכות, תפקיד",3,45
capacity,קיבולת,3,45
capital,עיר בירה,3,45
capital,"ראשי, משמעותי",3,45
capital,הון,3,46
capital,אות גדולה,3,46
capital punishment,עונש מוות,3,46
capitalize,לנצל,3,46
certain,מסוים,3,46
certain,בטוח,3,46
certainty,וודאות,3,46
character,"אות, תו",3,46
character,אופי,3,46
character,דמות,3,46
characteristic,מאפיין,3,46
choice,בחירה,3,46
choose,לבחור,3,46
circumstance,"מצב, תנאי, נסיבות",3,46
civil,אזרחי,3,46
civil,אדיב,3,46
class,כיתה,3,46
class,מעמד,3,46
class,סוג,3,46
classify,"לסווג, מסווג",3,46
colony,מושבה,3,46
combine,"לצרף, לשלב",3,46
common,"נפוץ, משותף",3,46
communal,"משותף, ציבורי",3,46
communicate,לתקשר,3,46
community,קהילה,3,46
company,חברה,3,46
comparable,בר -השוואה,3,46
compare,להשוות,3,46
comparison,השוואה,3,46
comprehend,להבין,3,47
comprehension,הבנה,3,47
concentrate,להתרכז,3,47
conclude,לסיים,3,47
conclude,להסיק,3,47
conclusion,מסקנה,3,47
conclusively,"סופית, באופן החלטי",3,47
confirm,"לאשר, לאמת",3,47
continuation,המשך,3,47
cooperation,שיתוף פעולה,3,47
core,ליבה,3,47
crisis,משבר,3,47
cure,מרפא,3,47
decide,להחליט,3,47
decline,לרדת,3,47
decline,לדחות,3,47
decline,ירידה,3,47
decrease,"ירידה, הפחתה",3,47
decrease,"להפחית, לצמצם",3,47
deduce,להסיק,3,47
demand,"לדרוש, דרישה",3,47
deny,לסרב,3,47
deny,להכחיש,3,47
depart,לעזוב,3,47
derive -,"לשאוב, להפיק, לגזור מ",3,47
descend,"ירד, הדרדר",3,47
descendent,צאצא,3,47
deserve (,מגיע )לו,3,47
destiny,גורל,3,47
devote,להקדיש,3,47
direct,לכוון,3,48
direct,לביים,3,48
direct,"ישיר, כנה",3,48
direction,כיוון,3,48
disadvantage,חסרון,3,48
disclose,"לגלות, לחשוף",3,48
discover,לגלות,3,48
discoveries,תגליות,3,48
discuss,"לדון, להתווכח",3,48
disprove,להפריך,3,48
distinct,"ברור, נפרד",3,48
distress,מצוקה,3,48
diverge,לסטות,3,48
diversity,מגוון,3,48
divide,לחלק,3,48
doubt,"ספק, להטיל ספק",3,48
edit,לערוך,3,48
edition,מהדורה,3,48
editor,עורך,3,48
emperor,"שליט, קיסר",3,48
empire,אימפריה,3,48
enable,לאפשר,3,48
enormous,עצום,3,48
enough,מספיק,3,48
era,עידן,3,48
essential,חיוני,3,48
evaluate,"להעריך, לאמוד",3,48
evaluation,הערכה,3,48
even,אפילו,3,48
even (,זוגי )מספר,3,48
even,"ליישר, להשוות",3,49
evenly,באופן שווה,3,49
except for,למעט,3,49
exercise,תרגיל,3,49
exercise,להתאמן,3,49
exercise,"לממש, ליישם",3,49
expect,לצפות,3,49
expectations,ציפיות,3,49
explain,להסביר,3,49
explanation,הסבר,3,49
express,לבטא,3,49
express,מהיר,3,49
expression,ביטוי,3,49
extreme,קיצוני,3,49
face -,"פונה ל -, עם הפנים ל",3,49
face,פנים,3,49
facial,שקשור בפנים,3,49
