Word,Translation,Level,Page
financial,כספי,3,49
forbid,לאסור,3,49
form,צורה,3,49
form,"ליצור, להקים",3,49
formal,רשמי,3,49
forth,"הלאה, קדימה",3,49
general,כללי,3,49
General (,גנרל )דרגה צבאית,3,49
generally,באופן כללי,3,49
gross,"ענק, דוחה",3,49
gross,"ברוטו, גלמי",3,49
growth,"צמיחה, גדילה",3,49
habit,הרגל,3,49
habitat,סביבת מגורים,3,50
health,בריאות,3,50
heavily,"מאוד, במידה רבה",3,50
heavy,כבד,3,50
hope,"תקווה, לקוות",3,50
human,אנושי,3,50
human being,"בן -אדם, אנוש",3,50
identical,זהה,3,50
implicate,"לסבך, לערב",3,50
implications,"השלכות, משמעות",3,50
importance,חשיבות,3,50
important,חשוב,3,50
inadequate,"לקוי, לא מספיק",3,50
income,הכנסה,3,50
incomprehensible,לא מובן,3,50
indicate,להצביע על,3,50
indication -,"אינדיקציה, סימן ל",3,50
inhabit,"ליישב, לאכלס",3,50
inhabitants,תושבים,3,50
initial,"התחלתי, ראשוני",3,50
initial,ראשי תיבות,3,50
initiated,"יזם, התחיל, ִאְת ֵחל",3,50
international,בינלאומי,3,50
island,אי,3,50
isle,אי,3,50
issue,גיליון,3,50
issue,"להוציא לאור, להפיץ",3,50
issue,"נושא, עניין, סוגיה",3,50
jewel,תכשיט,3,50
join,"להצטרף, לחבר",3,50
joint,משותף,3,51
joint,"מפרק, חיבור",3,51
judge,לשפוט,3,51
judge,שופט,3,51
lack,מחסור,3,51
language,שפה,3,51
large,גדול,3,51
largest,הגדול ביותר,3,51
law,חוק,3,51
lawyer,עורך -דין,3,51
legal,משפטי,3,51
legal,חוקי,3,51
legalize,"להפוך חוקי, לאשר",3,51
less,פחות,3,51
lethal,קטלני,3,51
level,"רמה, דרגה, מפלס",3,51
level,"לאזן, להשוות",3,51
likely,סביר,3,51
local,מקומי,3,51
locate,לאתר,3,51
malfunction,"כשל, ליקוי",3,51
massacre,ֶט ַבח,3,51
medicine,"רפואה, תרופה",3,51
medieval,מתקופת ימי הביניים,3,51
merchandise,"מוצרים, סחורה",3,51
mere -,"רק, לא יותר מ",3,51
merely -,"רק, לא יותר מ",3,51
middle,אמצע,3,51
mortal,"אנושי, בן תמותה",3,51
mortal,קטלני,3,51
mortality,תמותה,3,52
most,הכי,3,52
most,רוב,3,52
mutually,באופן שווה/הדדי,3,52
nation,אומה,3,52
nationality,לאום,3,52
nationalize,להלאים,3,52
native,"יליד, מקומי, טבעי",3,52
natural,טבעי,3,52
nature,טבע,3,52
need,"צריך, צורך",3,52
negative,שלילי,3,52
network,רשת,3,52
new,חדש,3,52
newscaster,מגיש חדשות,3,52
newspaper,עיתון,3,52
note,"הערה, פתק",3,52
note,לציין,3,52
noted,"ידוע, מפורסם",3,52
obviously,ברור,3,52
occasion,"אירוע, סיבה, הזדמנות",3,52
occasional,"מדי פעם, מקרי",3,52
occasions,"הזדמנויות, מקרים",3,52
occur,"קרה, התרחש",3,52
offer,"הצעה, להציע",3,52
official,"רשמי, מאושר",3,52
officiate,"לכהן, לערוך",3,52
oil,"נפט, שמן, לשמן",3,52
ongoing,מתמשך,3,52
option,"אפשרות, אופציה",3,52
order,מסדר דתי,3,53
order,להזמין,3,53
order,לצוות,3,53
orderly,מסודר,3,53
orientation,התמצאות,3,53
origin,"מקור, מוצא",3,53
original,מקורי,3,53
originality,מקוריות,3,53
originate,"התחיל, התהווה",3,53
outcome,תוצאה,3,53
overcome,להתגבר,3,53
part,חלק,3,53
partial,חלקי,3,53
patient,סבלני,3,53
patient,חולה,3,53
per,לכל,3,53
percent,אחוז,3,53
perfect,"להשלים, לשפר",3,53
perfect,מושלם,3,53
pollution,זיהום,3,53
population,אוכלוסייה,3,53
possess -,"להיות בעלים של, להחזיק ב",3,53
possession,"בעלות, חזקה",3,53
precise,מדויק,3,53
precision,דיוק,3,53
presence,נוכחות,3,53
present,להציג,3,53
present,מתנה,3,53
present,"הווה, נוכח, קיים",3,53
prime,"ראשוני, עיקרי, מובחר",3,53
primitive,"קדום, חסר תרבות",3,54
prior,קודם,3,54
priority,עדיפות,3,54
progress,"התקדמות, להתקדם",3,54
progressive,מתקדם ומתמשך,3,54
proper,"מתאים, הולם",3,54
properly,כראוי,3,54
protect,להגן,3,54
provide,לספק,3,54
provide,לפרנס,3,54
purpose,"כוונה, מטרה",3,54
purposely,בכוונה,3,54
quiet,שקט,3,54
quite,למדי,3,54
quote,ציטוט,3,54
raise,להעלות,3,54
range,מטווח,3,54
range,רכס,3,54
range,טווח,3,54
rational,"הגיוני, רציונאלי",3,54
rationalize,"להצדיק, להסביר",3,54
reality,מציאות,3,54
reason,סיבה,3,54
reason,הגיון,3,54
recession,מיתון,3,54
recommend,להמליץ,3,54
recycle,למחזר,3,54
recycling,מחזור,3,54
reduce,להפחית,3,54
refer,מתייחס,3,54
reference,"התייחסות, הפניה",3,55
refuse,"אשפה, זבל",3,55
refuse,לסרב,3,55
regime,"שלטון, משטר",3,55
regulation,תקנה,3,55
reign,שלטון,3,55
reigned,"משל, שלט",3,55
relative,יחסי,3,55
relative,קרוב -משפחה,3,55
relatively,"בקרוב, באופן יחסי",3,55
religion,דת,3,55
repeat,לחזור,3,55
repeat,שידור/מאורע חוזר,3,55
repetition,חזרה,3,55
reply,להשיב,3,55
research,מחקר,3,55
resist,להתנגד,3,55
resistance,"התנגדות, מחתרת",3,55
resolve,נחוש,3,55
resolve,לפתור,3,55
result,תוצאה,3,55
result in -,הסתיים ב,3,55
reveal,לחשוף,3,55
review,ביקורת,3,55
review,"לסקור, סקירה",3,55
rigid,"נוקשה, מחמיר",3,55
rise,"עליה, לעלות",3,55
rising,זריחה,3,55
rising,עולה,3,55
rocket,טיל,3,55
scene,סצנה,3,56
scene,זירה,3,56
scenery,נוף,3,56
science,מדע,3,56
scientist,מדען,3,56
section,"יחידה, חלק",3,56
seem -,"נראה כ -, דומה ל",3,56
sense,"היגיון, תודעה",3,56
sense,"חוש, לחוש",3,56
sensible,נבון,3,56
serious,"רציני, חמור",3,56
shuttle,מעבורת,3,56
sign,לחתום,3,56
sign,"סימן, לסמן",3,56
sign,ֶשׁ ֶלט,3,56
signal,"אות, סימן, לאותת",3,56
similar,דומה,3,56
simple,פשוט,3,56
simplify,לפשט,3,56
simply,בפשטות,3,56
social,חברתי,3,56
spacious,מרווח,3,56
square,כיכר,3,56
square,ריבוע,3,56
stand,לעמוד,3,56
standardize,לתקנן,3,56
subject -,"נתון ל -, בכפוך ל",3,56
subject,"למסור, להעביר לבעלות אחר",3,56
subject,"נתין, אזרח, אדם",3,56
subject,נושא,3,56
subjective,"אישי, משוחד בדעתו",3,57
suburban,פרברי,3,57
succeed,הצליח,3,57
success,הצלחה,3,57
sum,"סכום, סך, לסכם",3,57
sum up,לסכם,3,57
summarize,לסכם,3,57
summary,"סיכום, תמצית",3,57
surround,להקיף,3,57
surrounding,"מקיף, סובב",3,57
task,משימה,3,57
territory,"תחום, שטח",3,57
thereby -,"ולכן, גרם ל",3,57
title,כותרת,3,57
touch,"מגע, לגעת",3,57
trade,להחליף,3,57
trade,"לסחור, מסחר",3,57
train,"להכשיר, לאמן",3,57
train,רכבת,3,57
trial,נסיון,3,57
trial,משפט,3,57
turn,"לפנות, סיבוב",3,57
uncharted,לא מתועד,3,57
uniform,מדים,3,57
uniform,אחיד,3,57
unify,לאחד,3,57
union,"איגוד, איחוד",3,57
universe,יקום,3,57
uphold,"להחזיק, לתמוך, לדגול",3,57
volume,כרך,3,57
volume,עוצמת קול,3,58
volume,נפח,3,58
war,מלחמה,3,58
warfare,לוחמה,3,58
warrior,לוחם,3,58
waste,"בזבוז, לבזבז",3,58
waste,הפסולת,3,58
watch,"להסתכל, להשגיח",3,58
watch,שעון,3,58
widespread,נפוץ,3,58
wild,"פראי, טבע",3,58
wilderness,"ערבה, שממה",3,58
wool,צמר,3,58
abandon,"לנטוש, לזנוח",4,59
abduct,"חטיפה, לחטוף",4,59
abide,לציית,4,59
absence,מחסור,4,59
absent,"חסר, לא נוכח",4,59
absorb,לספוג,4,59
abundance,שפע,4,59
abuse,"התעללות, ניצול",4,59
abuse,"להתעלל, לנצל",4,59
accumulate,"לצבור, לאסוף",4,59
acquire,"לרכוש, להשיג",4,59
acquisition,רכישה,4,59
adopt,לאמץ,4,59
adventure,הרפתקה,4,59
affect,להשפיע,4,59
affection,חיבה,4,59
affluence,שפע,4,59
affluent,"שופע, עשיר",4,59
aid,"עזרה, לסייע",4,59
airborne,נישא באוויר,4,59
airline,חברת תעופה,4,59
airplane,"אווירון, מטוס",4,59
alike,דומה,4,59
allow,להרשות,4,59
ally (allies) (,בן- ברית )בנות -ברית,4,59
alter,"שינה ,לשנות",4,59
alterations,שינויים,4,59
alternately,לסירוגין,4,60
amateur,חובבן,4,60
amend,"תיקון, שינוי לטובה",4,60
analyze,לנתח,4,60
anticipate,לצפות,4,60
anxious,להוט,4,60
anxious,חרד,4,60
apparent,גלוי,4,60
apparently,כנראה,4,60
apply,לפנות,4,60
appreciate,עליה בערך,4,60
appreciation,הערכה,4,60
appropriately,בהתאם,4,60
arise,"להופיע, לעלות",4,60
"arise, arose","לקום, קם",4,60
artificial,מלאכותי,4,60
aside,"במאמר מוסגר, מלבד",4,60
aside,הצידה,4,60
assess,"להעריך, לאמוד",4,60
asset,נכס,4,60
assign,"למנות, להקצות",4,60
assignment,"משימה, מטלה",4,60
attain,"להשיג, להגיע",4,60
attend,"להשתתף, להיות נוכח",4,60
attendant,"משרת, מטפל, מלווה",4,60
authority,סמכות,4,60
authorize,"להרשות, להסמיך",4,60
autumn,סתיו,4,60
await,להמתין,4,60
awareness,מודעות,4,60
bare,"חשוף, ריק, לחשוף",4,61
behave,להתנהג,4,61
behavior,התנהגות,4,61
bounce,"לקפץ, ניתור",4,61
brilliant,מבריק,4,61
burden,עול,4,61
bush,שיח,4,61
bush,ערבה,4,61
cable,כבל,4,61
calculate,לחשב,4,61
calculator,מחשבון,4,61
campaign,"מערכה, מסע",4,61
candid,"כנה, ישיר",4,61
candidate,מועמד,4,61
case,"מקרה, טיעון",4,61
case,תיבה,4,61
categorize,"לקטלג, למיין, לסווג",4,61
cautious,זהיר,4,61
century,מאה שנים,4,61
charge,להאשים,4,61
charge,לחייב,4,61
charge,להסתער,4,61
charge,לגבות,4,61
chart,"גיליון, תרשים",4,61
claim,"טענה, טוען",4,61
claim,תביעה,4,61
coincide,"להקביל, לחפוף",4,61
colossal,עצום,4,61
commence,להתחיל,4,61
compress,לדחוס,4,62
comprise,לכלול,4,62
concept,"רעיון, מושג",4,62
conception,תפיסה,4,62
confer,להתייעץ,4,62
confer,"להעניק, להסביר",4,62
conference,ועידה,4,62
confide (,"לשתף, לספר )סוד",4,62
confident,בטוח בעצמו,4,62
conflict,"עימות, סכסוך",4,62
conjecture,"סברה, לשער",4,62
connect,לחבר,4,62
consequence,תוצאה,4,62
consider,"לקחת בחשבון, לשקול",4,62
considerable,"הרבה, רבות",4,62
consume,לצרוך,4,62
consumers,צרכנים,4,62
contain,"להכיל, מכיל",4,62
contemporary,עכשווי,4,62
convenient,נוח,4,62
conveniently,באופן נח,4,62
convention,"ועידה, כנס",4,62
convention,מוסכמה,4,62
conventional,"שגרתי, קונבנציונאלי",4,62
convert,מומר,4,62
convert,להמיר,4,62
convey,"למסור, להעביר",4,62
courageous,אמיץ,4,62
create,ליצור,4,62
creator,יוצר,4,62
creature,יצור,4,63
currency,מטבע,4,63
custom,מנהג,4,63
custom,מותאם אישית,4,63
customer,"לקוח, צרכן",4,63
customize,להתאים באופן אישי,4,63
damage,"נזק, לגרום נזק",4,63
decade,עשור,4,63
defeat,תבוסה,4,63
defeated,הובס,4,63
defend,להגן,4,63
defense,הגנה,4,63
deficiency,מחסור,4,63
deliver,לשלוח,4,63
delivery,משלוח,4,63
demographic,דמוגרפי,4,63
demonstrate,להפגין,4,63
demonstrate,להדגים,4,63
destination,יעד,4,63
detach,להתנתק,4,63
deteriorate,להידרדר,4,63
diagnose,לאבחן,4,63
director,מנהל,4,63
director,במאי,4,63
discriminate,להפלות,4,63
dismiss,"לבטל, לפטר, לשחרר",4,63
disposable,חד -פעמי,4,63
disrupt,"להפריע, לשבש",4,63
distribute,להפיץ,4,63
distribution,הפצה,4,63
document,לתעד,4,64
document,מסמך,4,64
duty,"תפקיד, חובה",4,64
earn,להרוויח,4,64
economy,כלכלה,4,64
edge,"קצה, חספוס",4,64
elaborate,"לפרט, להרחיב",4,64
elect,לבחור,4,64
emerge,"להגיח, להופיע",4,64
emigrate,להגר,4,64
eminent,"בולט, בכיר",4,64
enclose,לצרף,4,64
enlarge,להגדיל,4,64
ensure,להבטיח,4,64
environment,סביבה,4,64
epidemic,"מגיפה, אפידמיה",4,64
equivalent,מקבילה,4,64
erase,למחוק,4,64
eraser,מחק,4,64
establish,לייסד,4,64
estimate,"להעריך, לאמוד",4,64
ethical,"אתי, מוסרי",4,64
evade,התחמק,4,64
evidence,ראיה,4,64
exception,יוצא מהכלל,4,64
execute,להוציא לפועל,4,64
execute,להוציא להורג,4,64
facility,מתקן,4,64
fail,להיכשל,4,64
failure,כשלון,4,64
faith,אמון,4,65
fall,סתיו,4,65
feature,להציג,4,65
feature,סרט באורך מלא,4,65
feature,"תכונה, מאפיין",4,65
flourish,"לשגשג, לפרוח",4,65
follow,"לעקוב, לציית",4,65
for the sake of,למען,4,65
force,לכפות,4,65
force,כוח,4,65
forsake,לזנוח,4,65
found,"מצא, גילה",4,65
found,לייסד,4,65
foundation,יסוד,4,65
function,"תפקוד, לתפקד",4,65
future,עתיד,4,65
gather,אסף,4,65
global,"עולמי, גלובאלי",4,65
goal,מטרה,4,65
goods,"סחורה, טובין",4,65
grasp,"לתפוס, להבין",4,65
grasp,אחיזה,4,65
group,"קבוצה, לקבץ",4,65
hardly,בקושי,4,65
hesitate,להסס,4,65
hold back,"לעכב, למנוע",4,65
homeland,מולדת,4,65
honest,הגון,4,65
honor,"לכבד, כבוד",4,65
huge,"עצום, ענק",4,65
idea,רעיון,4,66
identify,לזהות,4,66
illegal,לא חוקי,4,66
image,"דמות, תמונה",4,66
imagination,דמיון,4,66
imagine,לדמיין,4,66
impair,"לפגום, להחליש",4,66
impart,"להעביר, להקנות",4,66
impartially,"באופן הוגן, ללא אפליה",4,66
import,לייבא,4,66
impose,לכפות,4,66
impossible,בלתי אפשר,4,66
imprisoned,כלוא,4,66
improve,לשפר,4,66
improvise,לאלתר,4,66
in order,"תקין, מסודר",4,66
increase,"להגדיל, להגביר",4,66
incredible,מדהים,4,66
individual,"יחיד, אינדיבידואל",4,66
industry,תעשייה,4,66
inferred,"נגזר, משתמע",4,66
inform,"להודיע, לעדכן",4,66
information,מידע,4,66
innovate,"לחדש, להמציא",4,66
intention,כוונה,4,66
intentional,מכוון,4,66
interact,"לתקשר, להשפיע",4,66
interest,עניין,4,66
interest,ריבית,4,66
internal,פנימי,4,66
interpretation,פרשנות,4,67
involve,לערב,4,67
isolate,לבודד,4,67
judgment,שיפוט,4,67
"know, knew","לדעת, ידע",4,67
knowledge,ֶיַדע,4,67
known,ידוע,4,67
laid,מונח,4,67
lane,מסלול,4,67
launch,"לשגר, להוציא לדרך",4,67
launch,"להשיק, להתחיל",4,67
limit,"גבול, לשים גבול, מוגבל",4,67
limitation,מגבלה,4,67
lobby,"לובי, מבואה",4,67
lobby,לשדל,4,67
mammal,יונק,4,67
moderate,"לתווך, לפשר",4,67
moderate,מתון,4,67
modernize,להפוך למודרני,4,67
mold,עובש,4,67
mold,לעצב,4,67
motivate,לדרבן,4,67
negate,לשלול,4,67
neutral,ניטרלי,4,67
numerous,מרובה,4,67
nutrition,תזונה,4,67
object,להתנגד,4,67
object,"פריט, אובייקט",4,67
obtain,להשיג,4,67
operate,לנתח,4,67
operate,"לפעול, להפעיל, לתפעל",4,68
operation,"מבצע, פעולה",4,68
operation,ניתוח,4,68
opposition,"אופוזיציה, התנגדות",4,68
ordinary,רגיל,4,68
organ (,אורגן )כלי נגינה,4,68
organ,איבר,4,68
organization,ארגון,4,68
organize,לארגן,4,68
outbreak,התפרצות,4,68
overdo,"להפריז, להגזים",4,68
overdue,שעבר זמן ההגשה שלו,4,68
pace,קצב,4,68
pair,זוג,4,68
parent,הורה,4,68
parenting,הורות,4,68
participate,השתתף,4,68
particular,"מיוחד, לא רגיל",4,68
particulars,פריטים,4,68
pause,"הפסקה, להפסיק",4,68
persist,"להתמיד, להתעקש",4,68
person,אדם,4,68
personal,אישי,4,68
personality,אישיות,4,68
phase,"שלב, דרגה",4,68
phenomenon,תופעה,4,68
pioneer,חלוץ,4,68
position,"מיקום, למקם",4,68
position,תנוחה,4,68
position,"תפקיד, משרה",4,68
possible,אפשרי,4,69
poverty,עוני,4,69
poverty-stricken,מוכה עוני,4,69
precedent,תקדים,4,69
preceding,קודם,4,69
predecessors,קודמים,4,69
predestined,נקבע מראש,4,69
predict,לצפות מראש,4,69
prediction,"חיזוי, ניבוי",4,69
predictive,נבואי,4,69
premature,מוקדם מדי,4,69
private,פרטי,4,69
produce,לייצר,4,69
produce,"תוצר, ירקות ופירות",4,69
product,מוצר,4,69
profession,מקצוע,4,69
professional,מקצועי,4,69
profound,מעמיק,4,69
profound,"מוחלט, מאוד",4,69
profoundly,עמוקות,4,69
promise,"הבטחה, להבטיח",4,69
property,רכוש,4,69
property,תכונה,4,69
protest,"למחות, הפגנה",4,69
prove,להוכיח,4,69
public,ציבורי,4,69
race,מרוץ,4,69
race,גזע,4,69
rail,"מעקה, מסילה",4,69
railroad,מסילת רכבת,4,69
random,"מקרי, אקראי",4,70
randomly,באקראיות,4,70
reaction,תגובה,4,70
reasonable,הגיוני,4,70
reconstruct,לשחזר,4,70
refute,להפריך,4,70
regain,להשיג מחדש,4,70
regard,"להתייחס, להחשיב",4,70
relate,"להתייחס, לקשר",4,70
release,לשחרר,4,70
relevant,"רלוונטי, קשור",4,70
relocate,למקם מחדש,4,70
reluctant,"מסויג, לא מעוניין",4,70
rely,להסתמך,4,70
remote,מרוחק,4,70
report,"דיווח, לדווח",4,70
reporter,עיתונאי,4,70
request,"בקשה, לבקש",4,70
require,"לדרוש, דרישה",4,70
restore,"לשקם, לשחזר",4,70
resume,להמשיך,4,70
resumption,חידוש,4,70
rule,"כלל, חוק, שלטון",4,70
rule,"לשלוט, לפסוק, להחליט",4,70
ruler,סרגל,4,70
ruler,"מושל, שליט",4,70
season,לתבל,4,70
season,עונה,4,70
secure,"להבטיח, לשמור, להגן",4,70
selective,סלקטיבי,4,70
service,שירות,4,71
share,מניה,4,71
share,לחלוק,4,71
ship,אוניה,4,71
ship,לשלוח,4,71
shipment,משלוח,4,71
significance,"משמעות, חשיבות",4,71
significant,משמעותי,4,71
simulate,"לדמות, לחקות",4,71
size,גודל,4,71
soar,להמריא,4,71
soil,לכלוך,4,71
soil,אדמה,4,71
solicit,לבקש/לחפש בתחינה,4,71
solicit,לשדל / להדיח,4,71
solitude,בדידות,4,71
solution,פתרון,4,71
sort,למיין,4,71
source,מקור,4,71
span,"להימתח, להקיף",4,71
span,מרווח,4,71
splendid,"נהדר, מהולל",4,71
spring,מעיין,4,71
spring,אביב,4,71
"spring, sprang","קפיץ ; לקפוץ, קפץ",4,71
stability,יציבות,4,71
stamina,"כושר עמידה, סיבולת",4,71
standard,"רמה, תקן, מקובל",4,71
state,מצב,4,71
state,מדינה,4,71
statement,הצהרה,4,72
steady,"קבוע, יציב",4,72
stimulate,"לעורר, להמריץ",4,72
stock,מלאי,4,72
stock,לאחסן,4,72
stock,מניה,4,72
strange,מוזר,4,72
strive,לשאוף,4,72
successor,יורש,4,72
summer,קיץ,4,72
superior,עליון,4,72
supervise,לפקח,4,72
support,"תמיכה, לתמוך",4,72
supportive,תומך,4,72
survey,"לבחון, לסקור",4,72
survey,סקר,4,72
survive,לשרוד,4,72
swift,מהיר,4,72
temporary,זמני,4,72
thick,סמיך,4,72
thick,עבה,4,72
thrive,לשגשג,4,72
tradition,מסורת,4,72
traffic,תנועה,4,72
traffic jam,פקק תנועה,4,72
transfer,להעביר,4,72
transfer,העברה,4,72
tribe,שבט,4,72
unaware,לא מודע,4,72
uncertain,לא בטוח,4,72
unclear,לא ברור,4,73
uncover,"לחשוף, לגלות",4,73
unfold,לפתוח קיפול,4,73
unfold,"נפרש, נפתח, התגלה",4,73
unit,יחידה,4,73
unstable,לא יציב,4,73
update,"עדכון, לעדכן",4,73
upgrade,לשדרג,4,73
valid,תקף,4,73
validate,"אימת, נתן תוקף",4,73
violence,אלימות,4,73
violent,אלים,4,73
widely,בצורה נרחבת,4,73
widen,להרחיב,4,73
winter,חורף,4,73
admirable,"נערץ, ראוי להערצה",5,74
admire,להעריץ,5,74
adore,"העריץ, אהב",5,74
adverse,שלילי,5,74
analog (,אנלוגי )ההיפך מדיגיטלי,5,74
analogy,"אנלוגיה, הקבלה",5,74
ancestor,אב קדמון,5,74
ancestry,מוצא,5,74
ancient,"קדום, עתיק",5,74
assemble,"להרכיב, להתאסף",5,74
assist,"לעזור, לסייע",5,74
astonishment,"תדהמה, השתאות",5,74
astound,להדהים,5,74
at your disposal,לרשותך,5,74
author,"סופר, מחבר",5,74
avert,"להסיט, להפנות, למנוע",5,74
background,רקע,5,74
benefactors,"נדבנים, תורמים",5,74
beneficial,"מועיל, רווחי",5,74
bold,"אמיץ, חצוף",5,74
bold,מודגש,5,74
botanist,בוטנאי,5,74
boundary,גבול,5,74
branch,"ענף, סניף",5,74
broaden,להרחיב,5,74
canal,תעלה,5,74
cast,"להשליך, לגרש",5,74
cast,צוות שחקנים,5,75
caste,מעמד חברתי,5,75
castle,טירה,5,75
casual,"אגבי, רגיל, יומיומי",5,75
chief,"ראשי, בכיר, מנהיג",5,75
chief,צ'יף,5,75
citizen,אזרחים,5,75
clarify,להבהיר,5,75
climate,אקלים,5,75
coast,חוף,5,75
coastline,קו/רצועת חוף,5,75
coat,מעיל,5,75
coat (',"שכבה )של צבע, בטון וכו",5,75
coexistence,דו -קיום,5,75
collaborate,לשתף פעולה,5,75
collapse,להתמוטט,5,75
column,עמוד,5,75
column,טור,5,75
comfort,נחמה,5,75
comfortable,נוח,5,75
commerce,מסחר,5,75
commercial,מסחרי,5,75
commercial,סרטון פרסומת,5,75
commit,ביצוע/ לבצע,5,75
commit,להתחייב,5,75
committee,ועדה,5,75
complex,מסובך,5,75
complication,סיבוך,5,75
comply,"להסכים, לציית",5,75
compromise,להתפשר,5,75
concern,"דאגה, עניין",5,76
condition,"תנאי, מצב, מעמד",5,76
condition,"להכשיר, להתאים",5,76
conduct,"לנהל, לקיים",5,76
confront,"להתעמת, לעמת",5,76
confrontation,עימות,5,76
consideration,התחשבות,5,76
considering,מתחשב,5,76
consistent,עקבי,5,76
constant,"קבוע, רצוף",5,76
constitute,"להקים, לייסד",5,76
constitute,מהווים,5,76
construct,לבנות,5,76
consult,להתייעץ,5,76
context,הקשר,5,76
contract (,"ללקות, להידבק )במחלה",5,76
contract,"חוזה, הסכם",5,76
contract,להתכווץ,5,76
contradiction,סתירה,5,76
convoy,שיירה,5,76
criteria,"אמת מידה, אבן בחן",5,76
critic,מבקר,5,76
criticize,לבקר,5,76
declaration,"הכרזה, הצהרה",5,76
declare,להכריז,5,76
dedicate,להקדיש,5,76
dedicated -,מוקדש ל,5,76
dedicated,מסור,5,76
degenerate,להתנוון,5,76
degree,דרגה,5,76
degree,מעלה,5,77
delay,"עיכוב, לאחר, לדחות",5,77
delight,תענוג,5,77
design,"תכנית, דוגמה, תרשים",5,77
design,"לתכנן, לעצב",5,77
designer,מעצב,5,77
detect,"לאתר, לגלות",5,77
determine,לקבוע,5,77
determined,"נחוש, נחרץ",5,77
develop,לפתח,5,77
development,"התפתחות, פיתוח",5,77
diagram,"תרשים, דיאגרמה",5,77
dialect,ניב,5,77
difference,הבדל,5,77
differences,חילוקי דעות,5,77
different,שונה,5,77
differentiate,"להבדיל, להבחין",5,77
diminish,לצמצם,5,77
disaster,אסון,5,77
disobey,"להפר, לא לציית",5,77
dispose,להיפטר,5,77
distance,מרחק,5,77
drastic,דרסטי,5,77
effective,"יעיל, אפקטיבי",5,77
efficient,יעיל,5,77
effort,מאמץ,5,77
electricity,חשמל,5,77
emotion,רגש,5,77
enact,לחוקק,5,77
episode,פרק,5,77
ethnic,אתני,5,78
excel,להצטיין,5,78
excellent,מצוין,5,78
exhausting,"מתיש, מעייף",5,78
experience,"ניסיון, לחוות",5,78
experiment,"ניסוי, להתנסות",5,78
exploit,"פעולות, מעשים",5,78
exploit,"לנצל, להפיק תועלת",5,78
export,ייצוא,5,78
extensive,נרחב,5,78
facilitate,"לסייע, לעזור, להקל",5,78
fall apart,להתפרק,5,78
fast,צום,5,78
fast,מהיר,5,78
fasten,להדק,5,78
feminine,נשי,5,78
fine,קנס,5,78
fine,"קטן, עדין, דקיק",5,78
fine,משביע רצון,5,78
fine,"משובח, מצוין",5,78
fit,להתאים,5,78
fit,בכושר,5,78
flight,"בריחה, מנוסה",5,78
flight,טיסה,5,78
forceful,חזק,5,78
forecast,תחזית,5,78
foreign,חוץ,5,78
